Model,Accuracy,Precision (BBB-),Precision (BBB+),Recall (BBB-),Recall (BBB+),F1 (BBB-),F1 (BBB+),F1 Macro,ROC AUC
XGB - all (SMOTE),0.891736066623959,0.8790170132325141,0.8982558139534884,0.8157894736842105,0.9354187689202825,0.8462238398544131,0.9164607019278299,0.8813422708911215,0.96051480871705
XGB - all (SMOTE),0.891736066623959,0.8790170132325141,0.8982558139534884,0.8157894736842105,0.9354187689202825,0.8462238398544131,0.9164607019278299,0.8813422708911215,0.96051480871705
RF - morgan (No Balance),0.8770019218449712,0.9055793991416309,0.8648401826484018,0.7403508771929824,0.9556004036326943,0.8146718146718147,0.9079578139980825,0.8613148143349486,0.9592755855329546
XGB - all (No Balance),0.8949391415759129,0.878731343283582,0.9034146341463415,0.8263157894736842,0.934409687184662,0.8517179023508138,0.9186507936507936,0.8851843480008037,0.9592561120257758
XGB - desc_morgan (SMOTE),0.8885329916720052,0.876425855513308,0.8946859903381642,0.8087719298245614,0.934409687184662,0.8412408759124088,0.914116485686081,0.8776786807992449,0.9584966452458087
RF - desc_maccs (PCA 95%),0.885970531710442,0.893574297188755,0.8824082784571966,0.7807017543859649,0.9465186680121089,0.8333333333333334,0.9133398247322297,0.8733365790327816,0.9579274877405421
XGB - maccs (No Balance),0.8994234465086482,0.8888888888888888,0.9048543689320389,0.8280701754385965,0.9404641775983855,0.857402361489555,0.9223156853043047,0.8898590233969299,0.9578672969001717
RF - morgan (SMOTE),0.8770019218449712,0.8857142857142857,0.873015873015873,0.7614035087719299,0.9434914228052472,0.8188679245283019,0.906886517943744,0.862877221236023,0.9577619629295236
RF - maccs (PCA 95%),0.891736066623959,0.9066937119675457,0.8848314606741573,0.7842105263157895,0.9535822401614531,0.8410159924741298,0.917921321029626,0.8794686567518779,0.9574061288438049
XGB - desc_morgan (No Balance),0.8846893017296604,0.875,0.8895292987512008,0.7982456140350878,0.934409687184662,0.8348623853211009,0.9114173228346457,0.8731398540778733,0.9567280967302211
XGB - maccs (SMOTE),0.9039077514413837,0.8917910447761194,0.9102439024390244,0.8385964912280702,0.941473259334006,0.864376130198915,0.9255952380952381,0.8949856841470766,0.956573193832209
XGB - maccs (SMOTE),0.9039077514413837,0.8917910447761194,0.9102439024390244,0.8385964912280702,0.941473259334006,0.864376130198915,0.9255952380952381,0.8949856841470766,0.956573193832209
RF - descriptors (SMOTE),0.8750800768737989,0.8390596745027125,0.8948412698412699,0.8140350877192982,0.9101917255297679,0.8263579697239537,0.9024512256128064,0.8644045976683801,0.9512525005753537
RF - descriptors (No Balance),0.8757206918641897,0.8615384615384616,0.882804995196926,0.7859649122807018,0.9273461150353178,0.8220183486238533,0.9045275590551181,0.8632729538394857,0.951233027068175
XGB - morgan (No Balance),0.8808456117873158,0.8824701195219123,0.8800755429650614,0.7771929824561403,0.9404641775983855,0.8264925373134329,0.9092682926829269,0.8678804149981798,0.9507621222582187
XGB - morgan (SMOTE),0.877642536835362,0.873767258382643,0.8795066413662239,0.7771929824561403,0.9354187689202825,0.8226555246053854,0.9066014669926651,0.8646284957990252,0.9500451431302777
XGB - morgan (SMOTE),0.877642536835362,0.873767258382643,0.8795066413662239,0.7771929824561403,0.9354187689202825,0.8226555246053854,0.9066014669926651,0.8646284957990252,0.9500451431302777
RF - all (PCA 95%),0.8616271620755925,0.8881578947368421,0.8506787330316742,0.7105263157894737,0.9485368314833501,0.7894736842105263,0.8969465648854962,0.8432101245480113,0.9486209216279852
RF - desc_morgan (PCA 95%),0.866111467008328,0.9038031319910514,0.8509874326750448,0.7087719298245614,0.9566094853683148,0.7944936086529006,0.9007125890736342,0.8476030988632675,0.9474144493423265
RF - morgan (PCA 95%),0.8609865470852018,0.9020501138952164,0.8449197860962567,0.6947368421052632,0.9566094853683148,0.7849355797819624,0.89730241362991,0.8411189967059363,0.9452121727123056
RF - descriptors (PCA 95%),0.8718770019218449,0.8517110266159695,0.8821256038647343,0.7859649122807018,0.9212916246215943,0.8175182481751825,0.9012833168805529,0.8594007825278677,0.944371271265955
